Time_ms,Timestamp_UTC,Event,Asset_ID,Bid,Ask,Trade_Price,Trade_Side
143.339,2025-12-03 16:50:11.185488,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.9,SELL
19.284,2025-12-03 16:50:11.204770,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.9,SELL
10.150,2025-12-03 16:50:11.214919,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.9,SELL
365.703,2025-12-03 16:50:11.342395,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.89,0.91,N/A,N/A
206.802,2025-12-03 16:50:11.421724,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.89,SELL
282.933,2025-12-03 16:50:11.625336,price_change,62821584999194204677030312357514625732120653880941433118379705851963857868115,0.1,0.11,N/A,N/A
6.212,2025-12-03 16:50:23.989529,price_change,62821584999194204677030312357514625732120653880941433118379705851963857868115,0.09,0.1,N/A,N/A
34.037,2025-12-03 16:50:24.023550,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.9,0.91,N/A,N/A
333.156,2025-12-03 16:50:24.316451,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.9,SELL
7.343,2025-12-03 16:50:24.323789,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.9,SELL
1307.668,2025-12-03 16:50:25.631465,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.91,BUY
792.937,2025-12-03 16:50:26.424398,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.09,SELL
770.917,2025-12-03 16:50:27.195314,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.1,BUY
3184.970,2025-12-03 16:50:27.208520,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.91,0.92,N/A,N/A
0.322,2025-12-03 16:50:27.208835,price_change,62821584999194204677030312357514625732120653880941433118379705851963857868115,0.08,0.09,N/A,N/A
23.731,2025-12-03 16:50:27.219039,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.09,SELL
20.354,2025-12-03 16:50:27.239397,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.91,BUY
715.479,2025-12-03 16:50:27.954880,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.92,BUY
829.041,2025-12-03 16:50:28.037879,price_change,62821584999194204677030312357514625732120653880941433118379705851963857868115,0.09,0.1,N/A,N/A
0.078,2025-12-03 16:50:28.037948,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.9,0.91,N/A,N/A
107.080,2025-12-03 16:50:28.061957,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.92,BUY
26.643,2025-12-03 16:50:28.064607,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.89,0.91,N/A,N/A
7.062,2025-12-03 16:50:28.069012,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.09,BUY
19.852,2025-12-03 16:50:28.088866,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.91,BUY
14.014,2025-12-03 16:50:28.102882,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.1,BUY
273.915,2025-12-03 16:50:28.338510,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.9,0.91,N/A,N/A
1056.194,2025-12-03 16:50:29.159080,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.91,BUY
149.651,2025-12-03 16:50:29.308732,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.09,SELL
1108.596,2025-12-03 16:50:29.447113,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.9,0.92,N/A,N/A
154.232,2025-12-03 16:50:29.601356,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.9,0.91,N/A,N/A
1084.786,2025-12-03 16:50:30.393519,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.91,BUY
41.116,2025-12-03 16:50:30.434631,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.09,SELL
1067.524,2025-12-03 16:50:31.502162,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.09,SELL
513.944,2025-12-03 16:50:32.016102,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.91,BUY
268.436,2025-12-03 16:50:32.284541,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.91,BUY
308.868,2025-12-03 16:50:32.593406,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.09,SELL
3410.213,2025-12-03 16:50:33.011553,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.9,0.92,N/A,N/A
452.210,2025-12-03 16:50:33.045615,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.92,BUY
126.979,2025-12-03 16:50:33.138534,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.91,0.92,N/A,N/A
7.262,2025-12-03 16:50:33.145791,price_change,62821584999194204677030312357514625732120653880941433118379705851963857868115,0.08,0.09,N/A,N/A
