Timestamp,Side,Thought entry price,Actual entry price,Spread,Velocity,OrderID,Size,Tick_1,Tick_2,Tick_3,Tick_4,Tick_5,Tick_6,Tick_7,Tick_8
1764685337.3311691,DOWN,0.64,0.65,0.01,-1831.9,0xaac564e6842ba3dfd8c0f0ef158e2590dd9aacc0c0bf7f25fd32c7b77b43b125,1.66,0.65,0.64,0.65,0.65,0.65,0.64,0.65,0.64
1764685323.6554115,DOWN,0.55,0.58,0.01,-1759.4,0xf57d6d681dbd8f1801f16a3b1c7987b90345727d5c22b76259ad94b56aa434b7,2.33,0.6,0.6,0.6,0.61,0.61,0.61,0.62,0.63
1764685304.6856701,DOWN,0.52,0.53,0.02,-1930.6,0xbb760b87b3749ca294bb30d809c0da2eddbdd4a1bb68afb0b80c474c9615c38d,2.55,0.53,0.53,0.53,0.53,0.53,0.54,0.52,0.52
1764685293.3910248,UP,0.47,0.49,0.01,2473.7,0x7b4611d790760fab889cbe662b9664c1d57a42a52860403dbdbfbef1e63b5177,2.76,0.51,0.51,0.51,0.51,0.51,0.51,0.52,0.53
1764685398.985952,UP,0.78,0.78,0.02,1760.2,0x7acfccf4c4534949afe959f99c854f3565d9732aecbaf6de463d97b38fbd78b4,1.38,0.79,0.79,0.79,0.79,0.79,0.78,0.78,0.78
1764685392.1375813,UP,0.74,0.76,0.01,2842.6,0x9ec9ac39f3236107f4d3bb35da3c3632e40bac4ff30fc331a1f02ed69181175a,1.42,0.75,0.74,0.74,0.74,0.74,0.77,0.77,0.77
1764685386.7563593,UP,0.67,0.7,0.01,1624.4,0xaa3be067dff956a381984d056fc576a8005f9b7e66431dc884d923457e0fd771,1.54,0.7,0.7,0.7,0.7,0.72,0.73,0.73,0.73
1764685381.3882663,UP,0.51,0.63,0.02,1819.3,0xaaeb391830fd532cba486a9c0baf8671ad099a110df0ed0d93ead777d61381f5,1.86,0.65,0.65,0.65,0.65,0.65,0.64,0.65,0.65
1764685372.6528287,UP,0.48,0.49,0.01,1694.0,0x6c80d4c4bd465a37c831580aeee8c62a2839e11430e0e243cdb8531f4057d0de,2.76,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
1764685362.9349024,UP,0.44,0.45,0.01,2132.1,0x93935b3dc19c82db6f017900d5eca95ed5cd8c585589dfc212973daa308864f0,3.0,0.45,0.46,0.47,0.47,0.47,0.47,0.46,0.46
1764685352.8516126,UP,0.39,0.4,0.02,1600.3,0xdcc678f0cf6da53d9681de3fe20a786bb864a47eb0b46e67253b7e409e136bf0,2.7,0.43,0.43,0.42,0.43,0.43,0.45,0.45,0.45
1764685346.0280159,UP,0.38,0.4,0.01,1613.7,0xca1caf96d9b7a02264f6f91fda6b72b0a770e8be84b1077daa144d248e938f12,2.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
1764685416.4532204,DOWN,0.26,0.27,0.01,-1522.5,0xeea6af45a5be85086af08ea7bba058e1fb95d1716ab786a53bdab4ed1991212a,4.0,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.27
1764685406.8335378,DOWN,0.25,0.25,0.01,-1827.2,0x0356fa32967d60321136f7d2935835e4d1ee80c039173a5dbb5513314261b7d8,4.32,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1764685489.7829633,UP,0.85,0.86,0.01,1565.5,0x943a170a9422d4d7999859600c3f99a7e9b0acb1b1ec85bc2babb90b5bc91001,1.26,0.86,0.86,0.87,0.87,0.87,0.87,0.87,0.87
